ID	s	d	TTL	size	genT
148	2	8	120	60	126
149	3	11	120	900	126
150	3	9	120	900	126
151	5	11	120	900	126
152	1	9	120	900	126
153	5	9	120	60	126
154	5	11	120	2400	126
155	3	11	120	60	126
156	3	11	120	900	126
157	5	9	120	3000	126
158	1	7	120	900	126
159	1	7	120	60	126
160	3	11	120	60	126
161	3	9	120	2400	126
162	4	8	120	3000	140
163	3	11	120	900	140
164	5	7	120	60	140
165	3	9	120	900	140
166	5	11	120	2400	140
167	3	9	120	60	140
168	5	9	120	900	140
169	3	9	120	900	140
170	3	7	120	3000	140
171	3	11	120	60	140
172	0	6	120	60	149
173	5	9	120	60	149
174	5	11	120	900	149
175	3	11	120	60	149
176	3	11	120	900	149
177	3	9	120	900	149
178	5	11	120	60	149
179	0	6	120	60	149
180	3	9	120	900	149
181	0	10	120	2400	149
182	5	9	120	60	149
183	1	7	120	60	162
184	3	9	120	900	162
185	0	6	120	900	162
186	5	11	120	900	162
187	3	9	120	900	162
188	5	11	120	2400	162
189	3	9	120	3000	162
190	0	6	120	60	162
191	5	9	120	900	162
192	5	9	120	60	162
193	5	9	120	900	162
194	5	11	120	60	162
195	3	9	120	60	162
196	3	11	120	900	162
197	2	8	120	900	171
198	5	11	120	2400	171
199	0	6	120	900	171
200	5	11	120	2400	171
201	5	9	120	60	171
202	3	11	120	60	171
203	5	9	120	900	171
204	4	8	120	900	171
205	3	11	120	2400	171
206	2	8	120	60	171
207	5	9	120	60	171
208	5	9	120	900	171
209	1	7	120	60	171
210	3	11	120	60	178
211	5	11	120	60	178
212	3	11	120	60	178
213	2	10	120	3000	178
214	4	8	120	60	178
215	4	8	120	900	178
216	0	6	120	3000	178
217	4	8	120	900	178
218	4	10	120	60	178
219	3	9	120	900	178
220	5	9	120	900	178
221	5	11	120	60	178
222	0	6	120	60	189
223	5	9	120	60	189
224	5	11	120	900	189
225	5	11	120	60	189
226	2	10	120	3000	189
227	5	9	120	60	189
228	3	9	120	900	189
229	5	11	120	900	189
230	3	11	120	2400	189
231	3	9	120	60	189
232	2	6	120	60	189
233	5	9	120	900	189
234	5	9	120	3000	189
235	3	9	120	60	189
236	1	7	120	60	189
237	1	7	120	900	196
238	5	11	120	900	196
239	2	6	120	900	196
240	2	10	120	900	196
241	2	8	120	900	196
242	2	8	120	60	196
243	5	9	120	60	196
244	0	6	120	900	196
245	1	7	120	900	196
246	3	9	120	900	196
247	3	7	120	60	210
248	5	11	120	900	210
249	4	10	120	60	210
250	5	7	120	900	210
251	3	9	120	3000	210
252	3	9	120	900	210
253	5	11	120	900	210
254	4	8	120	900	210
255	5	9	120	60	210
256	2	10	120	3000	210
257	2	10	120	3000	210
258	3	9	120	60	210
259	4	10	120	60	224
260	5	11	120	900	224
261	2	8	120	60	224
262	5	11	120	60	224
263	4	10	120	900	224
264	4	8	120	3000	224
265	4	10	120	60	224
266	3	11	120	60	224
267	3	9	120	3000	224
268	3	11	120	2400	224
269	2	10	120	60	224
270	3	9	120	900	224
271	3	11	120	60	224
272	0	6	120	900	224
273	5	11	120	60	224
274	0	8	120	60	232
275	5	9	120	60	232
276	3	9	120	60	232
277	3	9	120	900	232
278	1	7	120	900	232
279	0	8	120	60	232
280	0	6	120	60	232
281	0	6	120	3000	232
282	0	8	120	60	232
283	3	9	120	900	232
284	5	9	120	900	232
285	3	9	120	900	232
286	3	11	120	900	232
287	3	11	120	900	232
288	5	11	120	60	232
