ID	s	d	TTL	size	genT
194	0	6	120	900	170
195	3	9	120	2400	170
196	3	9	120	60	170
197	5	11	120	900	170
198	3	11	120	60	170
199	3	9	120	60	170
200	5	11	120	2400	170
201	3	9	120	900	170
202	0	6	120	60	170
203	5	11	120	900	170
204	2	10	120	3000	170
205	2	8	120	60	184
206	3	9	120	60	184
207	3	11	120	60	184
208	0	6	120	60	184
209	0	6	120	60	184
210	0	6	120	60	184
211	2	10	120	900	184
212	4	10	120	60	184
213	5	9	120	900	184
214	4	8	120	3000	184
215	1	7	120	2400	199
216	3	11	120	60	199
217	3	11	120	2400	199
218	2	10	120	900	199
219	5	11	120	900	199
220	3	9	120	900	199
221	4	10	120	900	199
222	5	9	120	2400	199
223	1	7	120	60	199
224	5	11	120	2400	199
225	5	9	120	60	199
226	2	8	120	900	199
227	3	11	120	60	199
228	5	7	120	900	205
229	2	10	120	900	205
230	2	8	120	60	205
231	5	7	120	900	205
232	4	8	120	900	205
233	2	8	120	60	205
234	5	11	120	3000	205
235	5	9	120	60	205
236	3	9	120	60	205
237	3	9	120	900	205
238	2	10	120	900	205
239	4	8	120	900	205
240	4	8	120	900	205
241	2	10	120	60	212
242	4	8	120	60	212
243	3	7	120	2400	212
244	3	9	120	900	212
245	0	6	120	900	212
246	2	10	120	60	212
247	3	11	120	900	212
248	3	9	120	900	212
249	2	8	120	2400	212
250	5	7	120	2400	212
251	4	10	120	900	212
252	2	10	120	60	212
253	4	10	120	900	212
254	2	8	120	900	212
255	3	9	120	900	212
256	5	9	120	60	226
257	0	8	120	2400	226
258	4	10	120	3000	226
259	3	9	120	3000	226
260	5	11	120	2400	226
261	5	9	120	60	226
262	4	10	120	900	226
263	5	11	120	60	226
264	2	10	120	900	226
265	2	10	120	2400	226
266	0	6	120	2400	226
267	2	10	120	900	226
268	4	10	120	3000	226
269	5	11	120	2400	226
